Name,Gender,City,Frequency,Item,Spends
Rajiv,F,Patna,Once,Juice,56
Aman,M,Bangalore,Weekly,Burger,83
Vikram,M,Pune,Daily,Ice Cream,71
Sneha,F,Chennai,Never,Samosa,76
Ishita,M,Patna,Weekly,Fries,16
Suri,F,Kolkata,Never,Chowmein,55
Tina,M,Chennai,Monthly,Burger,83
Aakash,F,Gurgaon,Weekly,Chowmein,22
Simran,M,Noida,Daily,Biryani,52
Rahul,M,Bangalore,Weekly,Chowmein,66
Tina,F,Chennai,Never,Pav Bhaji,21
Swati,M,Kolkata,Once,Fries,33
Rahul,M,Mumbai,Monthly,Tea,53
Suri,M,Bangalore,Never,Vada,32
Mukku,F,Bangalore,Daily,Vada,41
Pooja,M,Patna,Monthly,Vada,68
Tina,F,Noida,Monthly,Juice,5
Neha,M,Jaipur,Once,Vada,76
Ishita,F,Kolkata,Monthly,Pizza,67
Rahul,M,Bangalore,Once,Chowmein,89
Mukku,F,Mumbai,Weekly,Pizza,62
Pooja,M,Noida,Weekly,Pav Bhaji,79
Simran,F,Noida,Weekly,Tea,72
Tina,F,Jaipur,Monthly,Pizza,77
Anu,F,Mumbai,Once,Burger,49
Nitish,M,Patna,Once,Chowmein,14
Kiran,M,Gurgaon,Never,Pasta,65
Simran,F,Kolkata,Once,Chowmein,77
Ishita,M,Chennai,Daily,Vada,43
Aman,F,Pune,Once,Burger,34
Sneha,M,Jaipur,Monthly,Paneer,14
Kiran,F,Pune,Never,Tea,15
Sneha,M,Hyderabad,Monthly,Noodles,51
Rahul,F,Gurgaon,Monthly,Samosa,14
Nitish,M,Delhi,Monthly,Juice,16
Rahul,M,Patna,Never,Fries,5
Mukku,M,Kolkata,Daily,Coffee,35
Ravi,F,Mumbai,Daily,Samosa,69
Anu,M,Mumbai,Monthly,Momos,29
Swati,M,Hyderabad,Weekly,Biryani,42
Neha,F,Hyderabad,Monthly,Momos,81
Sneha,M,Kolkata,Never,Vada,23
Suri,M,Delhi,Monthly,Rolls,92
Ishita,M,Patna,Once,Samosa,62
Megha,M,Mumbai,Never,Coffee,96
Rajiv,M,Noida,Never,Sandwich,72
Megha,M,Delhi,Daily,Fries,25
Mukku,M,Hyderabad,Once,Samosa,61
Kiran,F,Delhi,Daily,Juice,29
Simran,M,Chennai,Weekly,Momos,92
Ravi,M,Kolkata,Never,Pasta,86
Rahul,F,Bangalore,Weekly,Biryani,51
Suri,F,Hyderabad,Once,Noodles,50
Tina,F,Mumbai,Weekly,Tea,66
Pooja,M,Kolkata,Monthly,Fries,17
Ravi,F,Jaipur,Weekly,Dosa,5
Suri,F,Gurgaon,Monthly,Sandwich,13
Pooja,F,Pune,Weekly,Tea,63
Tina,F,Kolkata,Weekly,Ice Cream,73
Nitish,M,Gurgaon,Monthly,Paneer,35
Suri,F,Noida,Monthly,Chowmein,89
Mukku,M,Noida,Weekly,Fries,79
Arjun,M,Noida,Daily,Chowmein,42
Suri,M,Gurgaon,Weekly,Dosa,60
Pooja,F,Patna,Daily,Biryani,82
Vikram,F,Kolkata,Once,Salad,84
Kiran,F,Chennai,Never,Fries,18
Mukku,F,Pune,Daily,Vada,51
Sneha,M,Gurgaon,Monthly,Salad,32
Sneha,F,Hyderabad,Weekly,Ice Cream,50
Kiran,F,Chennai,Daily,Salad,90
Ishita,F,Patna,Once,Burger,11
Suri,F,Gurgaon,Monthly,Ice Cream,9
Neha,M,Delhi,Daily,Pizza,20
Ravi,M,Noida,Never,Paneer,66
Ishita,F,Bangalore,Daily,Paneer,5
Aakash,M,Bangalore,Never,Pasta,38
Suri,M,Hyderabad,Monthly,Sandwich,65
Swati,M,Delhi,Weekly,Pizza,95
Aman,F,Delhi,Never,Burger,71
Anu,F,Chennai,Monthly,Noodles,93
Rajiv,F,Bangalore,Daily,Chowmein,56
Arjun,F,Mumbai,Monthly,Burger,20
Tina,F,Gurgaon,Monthly,Salad,62
Kiran,M,Delhi,Monthly,Salad,34
Ravi,M,Gurgaon,Never,Samosa,11
Aman,M,Jaipur,Once,Rolls,51
Ishita,F,Noida,Daily,Pav Bhaji,84
Kiran,F,Bangalore,Daily,Rolls,53
Aakash,F,Delhi,Once,Pasta,55
Kiran,M,Jaipur,Weekly,Coffee,8
Nitish,F,Hyderabad,Daily,Juice,43
Vikram,M,Kolkata,Monthly,Fries,31
Megha,F,Pune,Never,Rolls,39
Suri,F,Kolkata,Weekly,Fries,100
Arjun,M,Pune,Weekly,Noodles,55
Pooja,F,Delhi,Monthly,Burger,45
Ravi,F,Bangalore,Never,Samosa,72
Neha,F,Patna,Weekly,Samosa,59
Suri,M,Hyderabad,Daily,Dosa,43
Mukku,M,Kolkata,Weekly,Samosa,19
Nitish,F,Noida,Monthly,Pav Bhaji,20
Swati,M,Bangalore,Daily,Paneer,87
Mukku,M,Pune,Once,Burger,47
Rahul,M,Hyderabad,Monthly,Paneer,57
Rajiv,F,Gurgaon,Once,Tea,46
Sneha,M,Chennai,Never,Chowmein,78
Suri,F,Chennai,Weekly,Pav Bhaji,41
Neha,M,Mumbai,Once,Tea,86
Nitish,M,Jaipur,Weekly,Dosa,88
Nitish,M,Chennai,Daily,Momos,39
Anu,M,Patna,Weekly,Salad,55
Mukku,M,Patna,Once,Burger,73
Kiran,M,Mumbai,Monthly,Pasta,9
Aman,F,Noida,Daily,Vada,26
Ravi,F,Mumbai,Daily,Tea,82
Tina,F,Bangalore,Once,Pasta,26
Vikram,M,Chennai,Daily,Pav Bhaji,42
Pooja,F,Patna,Weekly,Vada,42
Rahul,M,Chennai,Weekly,Biryani,7
Simran,F,Chennai,Daily,Sandwich,76
Ravi,F,Bangalore,Never,Salad,79
Rahul,M,Jaipur,Monthly,Vada,70
Pooja,F,Kolkata,Weekly,Fries,65
Ishita,F,Patna,Monthly,Pizza,92
Anu,F,Delhi,Daily,Vada,10
Ishita,F,Kolkata,Never,Dosa,17
Vikram,F,Noida,Daily,Ice Cream,6
Suri,M,Patna,Monthly,Vada,90
Kiran,M,Gurgaon,Weekly,Momos,8
Aman,F,Mumbai,Once,Paneer,28
